CONDITION_ID	PHENOTYPE_ID
10499	1402|1439|1486|2163|3227|3228|3413|7931|11289|13491|15496|15630|16119|17348|17349|17351|18896
105	24|290|934|1001|1813|1885|2414|5716|12167|12361|12650|13563|14301|14681|14838|15695|17088|17914|19601|20460|20462
1050	11701|12569|12570|12573|13106|15615|15622|16631|18322
10500	1023|4712|11714|12357
10501	1468
10502	1033|1885|12279|12357|13214
10503	1441|11311|13231|13491|14233|15496|16046|17367|18699|18702
10504	3123|5428|7502|12272|12286
10505	12846
10506	3123|19586
10507	3123|19586
10508	2597|3123|12079|12640|13506|14513|15976|18557|20435
10509	4275|7140|11267|11566|11572|11993|12447|12491|16484|19610
1051	780|1425|11307|11346|12455|12463|12481|13989|14537|17344|19598|21548
10510	1522|2414|3123|12251|12506|12507|12641|13312|13412|14440|15396|15400
10511	1364|13354|16136|16145|17032|18557|20434
10512	13740
10513	11813|11828|12274|13386|13525|14451
10514	1001|1023|2087|3123|11729|11993|12274|12774|12855|13529|14227|14695|15363|15379|18582|19587
10515	3123|14735
10516	597|681|1421|2589|3862|16045|16048|16590
10517	1033|1641|1799|1831|3124|12276|12357|12364|12774|12848
10518	12846
10519	2163|2168|8860|13491|13593|15317|17413|17415|19963
1052	1527|1532|1919|2027|3115|3798|3802|8901|11513|11534|12559|12774|14040|16148|16615|16893
10520	12846
10521	12167|13740|19590
10522	667|678|1071|1073|2276|11612|13593|20434
10523	15360
10524	12682
10525	12872|18280
10526	7772
10527	15566|17179|17185|17201|17277
10528	1617|1799|1867|3123|11714|11719|11993|12274|12357|12774|13361|13826|19589
10529	659
1053	1919|3798|3802|12559|12817|15625
10530	1073|2160|2163|2331|13215|13277|13331|14701
10531	15694
10532	80|745|762|1001|1196|1453|1583|2087|2293|3124|3982|6600|7210|10796|11236|11385|13334|13652|13808|14011|14349|14576|17385|17968|18209|19586|19590
10533	11965|12682
10534	13102
10535	780|11606|12463|14537|15931|19598
10536	12463|13805|14537|14805|17344|19598
10537	1425|11311|11606|11609|12463|12533|13656|15352|19599
10538	20462
10539	1813|12444|12449|12454|12463|13691|19598|19699|19700|19888
1054	764|12105|12817|13417|16095|16193|16891|16899
10540	12846
10541	1706|11987|15697
10542	1706|11987|12774|15697
10543	1706|11987|12774|15697
10544	3123|13503
10545	12846
10546	2236|2611|14014
10547	12846
10548	12545|15559|15628
10549	12545|15559|15628
