HGENE_ENSEMBL_ID	CONDITION_ID
ENSG00000116039	OMIM:267300
ENSG00000116062	OMIM:114500|OMIM:120435|OMIM:276300
ENSG00000116127	OMIM:203800
ENSG00000116132	OMIM:202650
ENSG00000116133	OMIM:602398
ENSG00000116218	OMIM:600995
ENSG00000116288	OMIM:606324
ENSG00000116688	OMIM:601152
ENSG00000116690	OMIM:208250
ENSG00000116704	OMIM:269250
ENSG00000116745	OMIM:204100
ENSG00000116761	OMIM:219500
ENSG00000116785	OMIM:235400
ENSG00000116906	OMIM:222765
ENSG00000116984	OMIM:250940|OMIM:601634
ENSG00000117013	OMIM:600101
ENSG00000117054	OMIM:201450
ENSG00000117118	OMIM:115310|OMIM:171300|OMIM:604287|OMIM:606764|OMIM:606864
ENSG00000117298	OMIM:145500
ENSG00000117305	OMIM:246450
ENSG00000117308	OMIM:230350
ENSG00000117360	OMIM:601414
ENSG00000117394	OMIM:601042|OMIM:606777|OMIM:608885
ENSG00000117400	OMIM:254450|OMIM:601977|OMIM:604498
ENSG00000117425	OMIM:109400|OMIM:155255|OMIM:605462
ENSG00000117479	OMIM:249270
ENSG00000117480	OMIM:606581
ENSG00000117560	OMIM:211980|OMIM:601859
ENSG00000117586	OMIM:608446
ENSG00000117595	OMIM:119300|OMIM:119500|OMIM:608864
ENSG00000117724	OMIM:243605
ENSG00000117983	OMIM:178500
ENSG00000118004	OMIM:265050
ENSG00000118046	OMIM:175200|OMIM:260350|OMIM:273300
